Time	Data
0.0000	0.0000
0.5000	0.0250
1.0000	0.0500
1.5000	0.0749
2.0000	0.0998
2.5000	0.1247
3.0000	0.1494
3.5000	0.1741
4.0000	0.1987
4.5000	0.2231
5.0000	0.2474
5.5000	0.2715
6.0000	0.2955
6.5000	0.3193
7.0000	0.3429
7.5000	0.3663
8.0000	0.3894
8.5000	0.4123
9.0000	0.4350
9.5000	0.4573
10.0000	0.4794
10.5000	0.5012
11.0000	0.5227
11.5000	0.5438
12.0000	0.5646
12.5000	0.5851
13.0000	0.6052
13.5000	0.6249
14.0000	0.6442
14.5000	0.6631
15.0000	0.6816
15.5000	0.6997
16.0000	0.7174
16.5000	0.7345
17.0000	0.7513
17.5000	0.7675
18.0000	0.7833
18.5000	0.7986
19.0000	0.8134
19.5000	0.8277
20.0000	0.8415
20.5000	0.8547
21.0000	0.8674
21.5000	0.8796
22.0000	0.8912
22.5000	0.9023
23.0000	0.9128
23.5000	0.9227
24.0000	0.9320
24.5000	0.9408
25.0000	0.9490
25.5000	0.9566
26.0000	0.9636
26.5000	0.9699
27.0000	0.9757
27.5000	0.9809
28.0000	0.9854
28.5000	0.9894
29.0000	0.9927
29.5000	0.9954
30.0000	0.9975
30.5000	0.9990
31.0000	0.9998
31.5000	1.0000
32.0000	0.9996
32.5000	0.9985
33.0000	0.9969
33.5000	0.9946
34.0000	0.9917
34.5000	0.9881
35.0000	0.9840
35.5000	0.9792
36.0000	0.9738
36.5000	0.9679
37.0000	0.9613
37.5000	0.9541
38.0000	0.9463
38.5000	0.9379
39.0000	0.9290
39.5000	0.9194
40.0000	0.9093
40.5000	0.8986
41.0000	0.8874
41.5000	0.8756
42.0000	0.8632
42.5000	0.8503
43.0000	0.8369
43.5000	0.8230
44.0000	0.8085
44.5000	0.7935
45.0000	0.7781
45.5000	0.7621
46.0000	0.7457
46.5000	0.7288
47.0000	0.7115
47.5000	0.6937
48.0000	0.6755
48.5000	0.6568
49.0000	0.6378
49.5000	0.6183
50.0000	0.5985
50.5000	0.5783
51.0000	0.5577
51.5000	0.5368
52.0000	0.5155
52.5000	0.4939
53.0000	0.4720
53.5000	0.4498
54.0000	0.4274
54.5000	0.4046
55.0000	0.3817
55.5000	0.3584
56.0000	0.3350
56.5000	0.3113
57.0000	0.2875
57.5000	0.2634
58.0000	0.2392
58.5000	0.2149
59.0000	0.1904
59.5000	0.1658
60.0000	0.1411
60.5000	0.1163
61.0000	0.0915
61.5000	0.0665
62.0000	0.0416
62.5000	0.0166
63.0000	0.0084
63.5000	0.0334
64.0000	0.0584
64.5000	0.0833
65.0000	0.1082
65.5000	0.1330
66.0000	0.1577
66.5000	0.1824
67.0000	0.2069
67.5000	0.2313
68.0000	0.2555
68.5000	0.2796
69.0000	0.3035
69.5000	0.3273
70.0000	0.3508
70.5000	0.3741
71.0000	0.3971
71.5000	0.4200
72.0000	0.4425
72.5000	0.4648
73.0000	0.4868
73.5000	0.5085
74.0000	0.5298
74.5000	0.5509
75.0000	0.5716
75.5000	0.5919
76.0000	0.6119
76.5000	0.6314
77.0000	0.6506
77.5000	0.6694
78.0000	0.6878
78.5000	0.7057
79.0000	0.7232
79.5000	0.7402
80.0000	0.7568
80.5000	0.7729
81.0000	0.7885
81.5000	0.8037
82.0000	0.8183
82.5000	0.8324
83.0000	0.8460
83.5000	0.8590
84.0000	0.8716
84.5000	0.8836
85.0000	0.8950
85.5000	0.9059
86.0000	0.9162
86.5000	0.9259
87.0000	0.9351
87.5000	0.9436
88.0000	0.9516
88.5000	0.9590
89.0000	0.9658
89.5000	0.9720
90.0000	0.9775
90.5000	0.9825
91.0000	0.9868
91.5000	0.9906
92.0000	0.9937
92.5000	0.9962
93.0000	0.9981
93.5000	0.9993
94.0000	0.9999
94.5000	0.9999
95.0000	0.9993
95.5000	0.9980
96.0000	0.9962
96.5000	0.9937
97.0000	0.9905
97.5000	0.9868
98.0000	0.9825
98.5000	0.9775
99.0000	0.9719
99.5000	0.9657
100.0000	0.9589
100.5000	0.9515
101.0000	0.9435
101.5000	0.9350
102.0000	0.9258
102.5000	0.9161
103.0000	0.9058
103.5000	0.8949
104.0000	0.8835
104.5000	0.8715
105.0000	0.8589
105.5000	0.8459
106.0000	0.8323
106.5000	0.8181
107.0000	0.8035
107.5000	0.7884
108.0000	0.7728
108.5000	0.7567
109.0000	0.7401
109.5000	0.7230
110.0000	0.7055
110.5000	0.6876
111.0000	0.6692
111.5000	0.6505
112.0000	0.6313
112.5000	0.6117
113.0000	0.5917
113.5000	0.5714
114.0000	0.5507
114.5000	0.5296
115.0000	0.5083
115.5000	0.4866
116.0000	0.4646
116.5000	0.4423
117.0000	0.4198
117.5000	0.3969
118.0000	0.3739
118.5000	0.3506
119.0000	0.3271
119.5000	0.3033
120.0000	0.2794
