Time	Data
0.0000	0.8000
0.5000	0.5628
1.0000	0.5392
1.5000	1.2433
2.0000	1.5682
2.5000	0.6744
3.0000	-0.1856
3.5000	0.3787
4.0000	1.4775
4.5000	1.4621
5.0000	0.6430
5.5000	0.4184
6.0000	0.7570
6.5000	0.7105
7.0000	0.5285
7.5000	1.0216
8.0000	1.5522
8.5000	0.9576
9.0000	-0.0739
9.5000	0.1172
10.0000	1.2856
10.5000	1.6336
11.0000	0.8312
11.5000	0.3195
12.0000	0.6378
12.5000	0.8204
13.0000	0.5999
13.5000	0.8398
14.0000	1.4440
14.5000	1.1850
15.0000	0.1294
15.5000	-0.0686
16.0000	1.0171
16.5000	1.7206
17.0000	1.0768
17.5000	0.2995
18.0000	0.4698
18.5000	0.8603
19.0000	0.7250
19.5000	0.7299
20.0000	1.2751
20.5000	1.3252
21.0000	0.3886
21.5000	-0.1508
22.0000	0.7116
22.5000	1.7002
23.0000	1.3393
23.5000	0.3769
24.0000	0.2927
24.5000	0.8138
25.0000	0.8644
25.5000	0.7075
26.0000	1.0871
26.5000	1.3647
27.0000	0.6585
27.5000	-0.1203
28.0000	0.4158
28.5000	1.5690
29.0000	1.5730
29.5000	0.5507
30.0000	0.1499
30.5000	0.6840
31.0000	0.9757
31.5000	0.7687
32.0000	0.9233
32.5000	1.3097
33.0000	0.8942
33.5000	0.0117
34.0000	0.1748
34.5000	1.3438
35.0000	1.7356
35.5000	0.8000
36.0000	0.0799
36.5000	0.4930
37.0000	1.0227
37.5000	0.8907
38.0000	0.8198
38.5000	1.1852
39.0000	1.0593
39.5000	0.2161
40.0000	0.0232
40.5000	1.0585
41.0000	1.7966
41.5000	1.0884
42.0000	0.1082
42.5000	0.2775
43.0000	0.9829
43.5000	1.0374
44.0000	0.7984
44.5000	1.0288
45.0000	1.1329
45.5000	0.4516
46.0000	-0.0213
46.5000	0.7579
47.0000	1.7436
47.5000	1.3704
48.0000	0.2421
48.5000	0.0815
49.0000	0.8522
49.5000	1.1661
50.0000	0.8619
50.5000	0.8836
51.0000	1.1136
51.5000	0.6730
52.0000	0.0391
52.5000	0.4884
53.0000	1.5846
53.5000	1.6003
54.0000	0.4685
54.5000	-0.0525
55.0000	0.6465
55.5000	1.2372
56.0000	0.9937
56.5000	0.7886
57.0000	1.0193
57.5000	0.8405
58.0000	0.1828
58.5000	0.2898
59.0000	1.3463
59.5000	1.7412
60.0000	0.7563
60.5000	-0.0921
61.0000	0.3983
61.5000	1.2221
62.0000	1.1612
62.5000	0.7709
63.0000	0.8835
63.5000	0.9272
64.0000	0.3733
64.5000	0.1876
65.0000	1.0694
65.5000	1.7719
66.0000	1.0624
66.5000	-0.0216
67.0000	0.1509
67.5000	1.1094
68.0000	1.3228
68.5000	0.8401
69.0000	0.7475
69.5000	0.9244
70.0000	0.5671
70.5000	0.1878
71.0000	0.8000
71.5000	1.6911
72.0000	1.3396
72.5000	0.1546
73.0000	-0.0506
73.5000	0.9075
74.0000	1.4358
74.5000	0.9859
75.0000	0.6526
75.5000	0.8433
76.0000	0.7223
76.5000	0.2767
77.0000	0.5811
77.5000	1.5175
78.0000	1.5459
78.5000	0.4124
79.0000	-0.1677
79.5000	0.6438
80.0000	1.4661
80.5000	1.1806
81.0000	0.6308
81.5000	0.7121
82.0000	0.8070
82.5000	0.4238
83.0000	0.4443
83.5000	1.2861
84.0000	1.6525
84.5000	0.7128
85.0000	-0.1764
85.5000	0.3587
86.0000	1.3946
86.5000	1.3839
87.0000	0.6983
87.5000	0.5703
88.0000	0.8061
88.5000	0.5881
89.0000	0.4035
89.5000	1.0407
90.0000	1.6490
