Time	Data
0.0000	2.0000
0.5000	0.2409
1.0000	2.0000
1.5000	0.2620
2.0000	1.9985
2.5000	0.2205
3.0000	1.9999
3.5000	0.2838
4.0000	1.9941
4.5000	0.2009
5.0000	1.9997
5.5000	0.3063
6.0000	1.9868
6.5000	0.1820
7.0000	1.9994
7.5000	0.3294
8.0000	1.9766
8.5000	0.1640
9.0000	1.9991
9.5000	0.3531
10.0000	1.9636
10.5000	0.1467
11.0000	1.9986
11.5000	0.3774
12.0000	1.9477
12.5000	0.1304
13.0000	1.9981
13.5000	0.4023
14.0000	1.9290
14.5000	0.1149
15.0000	1.9974
15.5000	0.4277
16.0000	1.9076
16.5000	0.1003
17.0000	1.9967
17.5000	0.4537
18.0000	1.8836
18.5000	0.0866
19.0000	1.9959
19.5000	0.4801
20.0000	1.8570
20.5000	0.0738
21.0000	1.9950
21.5000	0.5069
22.0000	1.8278
22.5000	0.0620
23.0000	1.9940
23.5000	0.5341
24.0000	1.7962
24.5000	0.0512
25.0000	1.9929
25.5000	0.5618
26.0000	1.7623
26.5000	0.0413
27.0000	1.9917
27.5000	0.5898
28.0000	1.7262
28.5000	0.0325
29.0000	1.9904
29.5000	0.6181
30.0000	1.6880
30.5000	0.0247
31.0000	1.9890
31.5000	0.6467
32.0000	1.6477
32.5000	0.0180
33.0000	1.9876
33.5000	0.6756
34.0000	1.6055
34.5000	0.0123
35.0000	1.9860
35.5000	0.7047
36.0000	1.5616
36.5000	0.0076
37.0000	1.9844
37.5000	0.7340
38.0000	1.5160
38.5000	0.0041
39.0000	1.9826
39.5000	0.7635
40.0000	1.4689
40.5000	0.0016
41.0000	1.9808
41.5000	0.7932
42.0000	1.4205
42.5000	0.0003
43.0000	1.9789
43.5000	0.8230
44.0000	1.3708
44.5000	0.0000
45.0000	1.9769
45.5000	0.8528
46.0000	1.3201
46.5000	0.0009
47.0000	1.9748
47.5000	0.8828
48.0000	1.2684
48.5000	0.0029
49.0000	1.9726
49.5000	0.9128
50.0000	1.2159
50.5000	0.0061
51.0000	1.9703
51.5000	0.9427
52.0000	1.1628
52.5000	0.0103
53.0000	1.9679
53.5000	0.9727
54.0000	1.1093
54.5000	0.0157
55.0000	1.9655
55.5000	1.0026
56.0000	1.0554
56.5000	0.0223
57.0000	1.9629
57.5000	1.0325
58.0000	1.0014
58.5000	0.0299
59.0000	1.9603
59.5000	1.0622
60.0000	0.9473
60.5000	0.0387
61.0000	1.9575
61.5000	1.0918
62.0000	0.8935
62.5000	0.0487
63.0000	1.9547
63.5000	1.1213
64.0000	0.8399
64.5000	0.0597
65.0000	1.9518
65.5000	1.1506
66.0000	0.7868
66.5000	0.0719
67.0000	1.9487
67.5000	1.1797
68.0000	0.7344
68.5000	0.0852
69.0000	1.9456
69.5000	1.2085
70.0000	0.6827
70.5000	0.0996
71.0000	1.9424
71.5000	1.2371
72.0000	0.6320
72.5000	0.1151
73.0000	1.9392
73.5000	1.2655
74.0000	0.5824
74.5000	0.1316
75.0000	1.9358
75.5000	1.2935
76.0000	0.5339
76.5000	0.1493
77.0000	1.9323
77.5000	1.3213
78.0000	0.4869
78.5000	0.1680
79.0000	1.9287
79.5000	1.3487
80.0000	0.4413
80.5000	0.1877
81.0000	1.9251
81.5000	1.3757
82.0000	0.3974
82.5000	0.2085
83.0000	1.9213
83.5000	1.4023
84.0000	0.3552
84.5000	0.2302
85.0000	1.9175
85.5000	1.4286
86.0000	0.3150
86.5000	0.2529
87.0000	1.9136
87.5000	1.4544
88.0000	0.2767
88.5000	0.2766
89.0000	1.9096
89.5000	1.4798
90.0000	0.2405
90.5000	0.3012
91.0000	1.9055
91.5000	1.5048
92.0000	0.2066
92.5000	0.3268
93.0000	1.9013
93.5000	1.5292
94.0000	0.1749
94.5000	0.3532
95.0000	1.8970
95.5000	1.5532
96.0000	0.1457
96.5000	0.3804
97.0000	1.8926
97.5000	1.5767
98.0000	0.1189
98.5000	0.4085
99.0000	1.8881
99.5000	1.5996
100.0000	0.0947
100.5000	0.4374
101.0000	1.8835
101.5000	1.6220
102.0000	0.0732
102.5000	0.4671
103.0000	1.8789
103.5000	1.6439
104.0000	0.0543
104.5000	0.4974
105.0000	1.8741
105.5000	1.6651
106.0000	0.0382
106.5000	0.5285
107.0000	1.8693
107.5000	1.6859
108.0000	0.0249
108.5000	0.5602
109.0000	1.8644
109.5000	1.7060
110.0000	0.0143
110.5000	0.5926
111.0000	1.8594
111.5000	1.7255
112.0000	0.0067
112.5000	0.6255
113.0000	1.8542
113.5000	1.7444
114.0000	0.0019
114.5000	0.6590
115.0000	1.8490
115.5000	1.7627
116.0000	0.0000
116.5000	0.6930
117.0000	1.8438
117.5000	1.7803
118.0000	0.0010
118.5000	0.7275
119.0000	1.8384
119.5000	1.7973
120.0000	0.0049
