sample-time[seconds]	plasma[kBq/cc]
0.0000	0.0000
1.0000	0.8371
2.0000	1.7577
3.0000	2.7463
4.0000	3.7899
5.0000	4.8755
6.0000	5.9920
7.0000	7.1295
8.0000	8.2787
9.0000	9.4319
10.0000	10.5807
11.0000	11.7207
12.0000	12.8454
13.0000	13.9498
14.0000	15.0298
15.0000	16.0817
16.0000	17.1021
17.0000	18.0884
18.0000	19.0384
19.0000	19.9503
20.0000	20.8224
21.0000	21.6537
22.0000	22.4410
23.0000	23.1881
24.0000	23.8925
25.0000	24.5541
26.0000	25.1730
27.0000	25.7492
28.0000	26.2834
29.0000	26.7758
30.0000	27.2272
31.0000	27.6384
32.0000	28.0100
33.0000	28.3432
34.0000	28.6416
35.0000	28.9006
36.0000	29.1242
37.0000	29.3133
38.0000	29.4693
39.0000	29.5931
40.0000	29.6862
41.0000	29.7495
42.0000	29.7843
43.0000	29.7919
44.0000	29.7734
45.0000	29.7299
46.0000	29.6628
47.0000	29.5762
48.0000	29.4650
49.0000	29.3336
50.0000	29.1828
51.0000	29.0140
52.0000	28.8282
53.0000	28.6263
54.0000	28.4123
55.0000	28.1813
56.0000	27.9371
57.0000	27.6807
58.0000	27.4130
59.0000	27.1377
60.0000	26.8499
61.0000	26.5532
62.0000	26.2485
63.0000	25.9364
64.0000	25.6204
65.0000	25.2957
66.0000	24.9658
67.0000	24.6312
68.0000	24.2951
69.0000	23.9529
70.0000	23.6077
71.0000	23.2602
72.0000	22.9131
73.0000	22.5622
74.0000	22.2101
75.0000	21.8599
76.0000	21.5070
77.0000	21.1544
78.0000	20.8045
79.0000	20.4533
80.0000	20.1033
81.0000	19.7568
82.0000	19.4100
83.0000	19.0652
84.0000	18.7247
85.0000	18.3846
86.0000	18.0474
87.0000	17.7149
88.0000	17.3835
89.0000	17.0573
90.0000	16.7327
91.0000	16.4117
92.0000	16.0960
93.0000	15.7824
94.0000	15.4743
95.0000	15.1687
96.0000	14.8671
97.0000	14.5713
98.0000	14.2781
99.0000	13.9908
100.0000	13.7063
101.0000	13.4276
102.0000	13.1519
103.0000	12.8820
104.0000	12.6153
105.0000	12.3543
106.0000	12.0965
107.0000	11.8446
108.0000	11.5958
109.0000	11.3528
110.0000	11.1130
111.0000	10.8789
112.0000	10.6480
113.0000	10.4227
114.0000	10.2007
115.0000	9.9841
116.0000	9.7708
117.0000	9.5629
118.0000	9.3591
119.0000	9.1586
120.0000	8.9632
121.0000	8.7710
122.0000	8.5838
123.0000	8.3997
124.0000	8.2205
125.0000	8.0452
126.0000	7.8729
127.0000	7.7053
