Time	Data
0.0000	1.0000
0.5000	0.9944
1.0000	0.9889
1.5000	0.9833
2.0000	0.9778
2.5000	0.9722
3.0000	0.9667
3.5000	0.9611
4.0000	0.9556
4.5000	0.9500
5.0000	0.9444
5.5000	0.9389
6.0000	0.9333
6.5000	0.9278
7.0000	0.9222
7.5000	0.9167
8.0000	0.9111
8.5000	0.9056
9.0000	0.9000
9.5000	0.8944
10.0000	0.8889
10.5000	0.8833
11.0000	0.8778
11.5000	0.8722
12.0000	0.8667
12.5000	0.8611
13.0000	0.8556
13.5000	0.8500
14.0000	0.8444
14.5000	0.8389
15.0000	0.8333
15.5000	0.8278
16.0000	0.8222
16.5000	0.8167
17.0000	0.8111
17.5000	0.8056
18.0000	0.8000
18.5000	0.7944
19.0000	0.7889
19.5000	0.7833
20.0000	0.7778
20.5000	0.7722
21.0000	0.7667
21.5000	0.7611
22.0000	0.7556
22.5000	0.7500
23.0000	0.7444
23.5000	0.7389
24.0000	0.7333
24.5000	0.7278
25.0000	0.7222
25.5000	0.7167
26.0000	0.7111
26.5000	0.7056
27.0000	0.7000
27.5000	0.6944
28.0000	0.6889
28.5000	0.6833
29.0000	0.6778
29.5000	0.6722
30.0000	0.6667
30.5000	0.6611
31.0000	0.6556
31.5000	0.6500
32.0000	0.6444
32.5000	0.6389
33.0000	0.6333
33.5000	0.6278
34.0000	0.6222
34.5000	0.6167
35.0000	0.6111
35.5000	0.6056
36.0000	0.6000
36.5000	0.5944
37.0000	0.5889
37.5000	0.5833
38.0000	0.5778
38.5000	0.5722
39.0000	0.5667
39.5000	0.5611
40.0000	0.5556
40.5000	0.5500
41.0000	0.5444
41.5000	0.5389
42.0000	0.5333
42.5000	0.5278
43.0000	0.5222
43.5000	0.5167
44.0000	0.5111
44.5000	0.5056
45.0000	0.5000
45.5000	0.4944
46.0000	0.4889
46.5000	0.4833
47.0000	0.4778
47.5000	0.4722
48.0000	0.4667
48.5000	0.4611
49.0000	0.4556
49.5000	0.4500
50.0000	0.4444
50.5000	0.4389
51.0000	0.4333
51.5000	0.4278
52.0000	0.4222
52.5000	0.4167
53.0000	0.4111
53.5000	0.4056
54.0000	0.4000
54.5000	0.3944
55.0000	0.3889
55.5000	0.3833
56.0000	0.3778
56.5000	0.3722
57.0000	0.3667
57.5000	0.3611
58.0000	0.3556
58.5000	0.3500
59.0000	0.3444
59.5000	0.3389
60.0000	0.3333
60.5000	0.3278
61.0000	0.3222
61.5000	0.3167
62.0000	0.3111
62.5000	0.3056
63.0000	0.3000
63.5000	0.2944
64.0000	0.2889
64.5000	0.2833
65.0000	0.2778
65.5000	0.2722
66.0000	0.2667
66.5000	0.2611
67.0000	0.2556
67.5000	0.2500
68.0000	0.2444
68.5000	0.2389
69.0000	0.2333
69.5000	0.2278
70.0000	0.2222
70.5000	0.2167
71.0000	0.2111
71.5000	0.2056
72.0000	0.2000
72.5000	0.1944
73.0000	0.1889
73.5000	0.1833
74.0000	0.1778
74.5000	0.1722
75.0000	0.1667
75.5000	0.1611
76.0000	0.1556
76.5000	0.1500
77.0000	0.1444
77.5000	0.1389
78.0000	0.1333
78.5000	0.1278
79.0000	0.1222
79.5000	0.1167
80.0000	0.1111
80.5000	0.1056
81.0000	0.1000
81.5000	0.0944
82.0000	0.0889
82.5000	0.0833
83.0000	0.0778
83.5000	0.0722
84.0000	0.0667
84.5000	0.0611
85.0000	0.0556
85.5000	0.0500
86.0000	0.0444
86.5000	0.0389
87.0000	0.0333
87.5000	0.0278
88.0000	0.0222
88.5000	0.0167
89.0000	0.0111
89.5000	0.0056
90.0000	0.0000
