Time	Data
0.0000	2.5000
0.5000	2.4896
1.0000	2.4792
1.5000	2.4688
2.0000	2.4583
2.5000	2.4479
3.0000	2.4375
3.5000	2.4271
4.0000	2.4167
4.5000	2.4062
5.0000	2.3958
5.5000	2.3854
6.0000	2.3750
6.5000	2.3646
7.0000	2.3542
7.5000	2.3438
8.0000	2.3333
8.5000	2.3229
9.0000	2.3125
9.5000	2.3021
10.0000	2.2917
10.5000	2.2812
11.0000	2.2708
11.5000	2.2604
12.0000	2.2500
12.5000	2.2396
13.0000	2.2292
13.5000	2.2188
14.0000	2.2083
14.5000	2.1979
15.0000	2.1875
15.5000	2.1771
16.0000	2.1667
16.5000	2.1562
17.0000	2.1458
17.5000	2.1354
18.0000	2.1250
18.5000	2.1146
19.0000	2.1042
19.5000	2.0938
20.0000	2.0833
20.5000	2.0729
21.0000	2.0625
21.5000	2.0521
22.0000	2.0417
22.5000	2.0312
23.0000	2.0208
23.5000	2.0104
24.0000	2.0000
24.5000	1.9896
25.0000	1.9792
25.5000	1.9688
26.0000	1.9583
26.5000	1.9479
27.0000	1.9375
27.5000	1.9271
28.0000	1.9167
28.5000	1.9062
29.0000	1.8958
29.5000	1.8854
30.0000	1.8750
30.5000	1.8646
31.0000	1.8542
31.5000	1.8438
32.0000	1.8333
32.5000	1.8229
33.0000	1.8125
33.5000	1.8021
34.0000	1.7917
34.5000	1.7812
35.0000	1.7708
35.5000	1.7604
36.0000	1.7500
36.5000	1.7396
37.0000	1.7292
37.5000	1.7188
38.0000	1.7083
38.5000	1.6979
39.0000	1.6875
39.5000	1.6771
40.0000	1.6667
40.5000	1.6562
41.0000	1.6458
41.5000	1.6354
42.0000	1.6250
42.5000	1.6146
43.0000	1.6042
43.5000	1.5938
44.0000	1.5833
44.5000	1.5729
45.0000	1.5625
45.5000	1.5521
46.0000	1.5417
46.5000	1.5312
47.0000	1.5208
47.5000	1.5104
48.0000	1.5000
48.5000	1.4896
49.0000	1.4792
49.5000	1.4688
50.0000	1.4583
50.5000	1.4479
51.0000	1.4375
51.5000	1.4271
52.0000	1.4167
52.5000	1.4062
53.0000	1.3958
53.5000	1.3854
54.0000	1.3750
54.5000	1.3646
55.0000	1.3542
55.5000	1.3438
56.0000	1.3333
56.5000	1.3229
57.0000	1.3125
57.5000	1.3021
58.0000	1.2917
58.5000	1.2812
59.0000	1.2708
59.5000	1.2604
60.0000	1.2500
60.5000	1.2396
61.0000	1.2292
61.5000	1.2188
62.0000	1.2083
62.5000	1.1979
63.0000	1.1875
63.5000	1.1771
64.0000	1.1667
64.5000	1.1562
65.0000	1.1458
65.5000	1.1354
66.0000	1.1250
66.5000	1.1146
67.0000	1.1042
67.5000	1.0938
68.0000	1.0833
68.5000	1.0729
69.0000	1.0625
69.5000	1.0521
70.0000	1.0417
70.5000	1.0312
71.0000	1.0208
71.5000	1.0104
72.0000	1.0000
72.5000	0.9896
73.0000	0.9792
73.5000	0.9688
74.0000	0.9583
74.5000	0.9479
75.0000	0.9375
75.5000	0.9271
76.0000	0.9167
76.5000	0.9062
77.0000	0.8958
77.5000	0.8854
78.0000	0.8750
78.5000	0.8646
79.0000	0.8542
79.5000	0.8438
80.0000	0.8333
80.5000	0.8229
81.0000	0.8125
81.5000	0.8021
82.0000	0.7917
82.5000	0.7812
83.0000	0.7708
83.5000	0.7604
84.0000	0.7500
84.5000	0.7396
85.0000	0.7292
85.5000	0.7188
86.0000	0.7083
86.5000	0.6979
87.0000	0.6875
87.5000	0.6771
88.0000	0.6667
88.5000	0.6562
89.0000	0.6458
89.5000	0.6354
90.0000	0.6250
90.5000	0.6146
91.0000	0.6042
91.5000	0.5938
92.0000	0.5833
92.5000	0.5729
93.0000	0.5625
93.5000	0.5521
94.0000	0.5417
94.5000	0.5312
95.0000	0.5208
95.5000	0.5104
96.0000	0.5000
96.5000	0.4896
97.0000	0.4792
97.5000	0.4688
98.0000	0.4583
98.5000	0.4479
99.0000	0.4375
99.5000	0.4271
100.0000	0.4167
100.5000	0.4062
101.0000	0.3958
101.5000	0.3854
102.0000	0.3750
102.5000	0.3646
103.0000	0.3542
103.5000	0.3438
104.0000	0.3333
104.5000	0.3229
105.0000	0.3125
105.5000	0.3021
106.0000	0.2917
106.5000	0.2812
107.0000	0.2708
107.5000	0.2604
108.0000	0.2500
108.5000	0.2396
109.0000	0.2292
109.5000	0.2188
110.0000	0.2083
110.5000	0.1979
111.0000	0.1875
111.5000	0.1771
112.0000	0.1667
112.5000	0.1562
113.0000	0.1458
113.5000	0.1354
114.0000	0.1250
114.5000	0.1146
115.0000	0.1042
115.5000	0.0938
116.0000	0.0833
116.5000	0.0729
117.0000	0.0625
117.5000	0.0521
118.0000	0.0417
118.5000	0.0312
119.0000	0.0208
119.5000	0.0104
120.0000	0.0000
