time [s]	Activity [arb units]
0.0000	0.0000
0.5000	4.7151
1.0000	3.4335
1.5000	2.6679
2.0000	2.2247
2.5000	1.9161
3.0000	1.6823
3.5000	1.5008
4.0000	1.3589
4.5000	1.2000
5.0000	0.6000
5.5000	0.6000
6.0000	0.6000
6.5000	0.6000
7.0000	0.6000
7.5000	0.6000
8.0000	0.6000
8.5000	0.6000
9.0000	0.6000
9.5000	0.6000
10.0000	0.6000
10.5000	0.6000
11.0000	0.6000
11.5000	0.6000
12.0000	0.6000
12.5000	0.6000
13.0000	0.6000
13.5000	0.6000
14.0000	0.6000
14.5000	0.6000
15.0000	0.6000
15.5000	0.6000
16.0000	0.6000
16.5000	0.6000
17.0000	0.6000
17.5000	0.6000
18.0000	0.6000
18.5000	0.6000
19.0000	0.6000
19.5000	0.6000
20.0000	0.6000
20.5000	0.6000
21.0000	0.6000
21.5000	0.6000
22.0000	0.6000
22.5000	0.6000
23.0000	0.6000
23.5000	0.6000
24.0000	0.6000
24.5000	0.6000
25.0000	0.6000
25.5000	0.6000
26.0000	0.6000
26.5000	0.6000
27.0000	0.6000
27.5000	0.6000
28.0000	0.6000
28.5000	0.6000
29.0000	0.6000
29.5000	0.6000
30.0000	0.6000
30.5000	0.6000
31.0000	0.6000
31.5000	0.6000
32.0000	0.6000
32.5000	0.6000
33.0000	0.6000
33.5000	0.6000
34.0000	0.6000
34.5000	0.6000
35.0000	0.6000
35.5000	0.6000
36.0000	0.6000
36.5000	0.6000
37.0000	0.6000
37.5000	0.6000
38.0000	0.6000
38.5000	0.6000
39.0000	0.6000
39.5000	0.6000
40.0000	0.6000
40.5000	0.6000
41.0000	0.6000
41.5000	0.6000
42.0000	0.6000
42.5000	0.6000
43.0000	0.6000
43.5000	0.6000
44.0000	0.6000
44.5000	0.6000
45.0000	0.6000
45.5000	0.6000
46.0000	0.6000
46.5000	0.6000
47.0000	0.6000
47.5000	0.6000
48.0000	0.6000
48.5000	0.6000
49.0000	0.6000
49.5000	0.6000
50.0000	0.0000
50.5000	4.7151
51.0000	3.4335
51.5000	2.6679
52.0000	2.2247
52.5000	1.9161
53.0000	1.6823
53.5000	1.5008
54.0000	1.3589
54.5000	1.2000
55.0000	0.6000
55.5000	0.6000
56.0000	0.6000
56.5000	0.6000
57.0000	0.6000
57.5000	0.6000
58.0000	0.6000
58.5000	0.6000
59.0000	0.6000
59.5000	0.6000
60.0000	0.6000
60.5000	0.6000
61.0000	0.6000
61.5000	0.6000
62.0000	0.6000
62.5000	0.6000
63.0000	0.6000
63.5000	0.6000
64.0000	0.6000
64.5000	0.6000
65.0000	0.6000
65.5000	0.6000
66.0000	0.6000
66.5000	0.6000
67.0000	0.6000
67.5000	0.6000
68.0000	0.6000
68.5000	0.6000
69.0000	0.6000
69.5000	0.6000
70.0000	0.6000
70.5000	0.6000
71.0000	0.6000
71.5000	0.6000
72.0000	0.6000
72.5000	0.6000
73.0000	0.6000
73.5000	0.6000
74.0000	0.6000
74.5000	0.6000
75.0000	0.6000
75.5000	0.6000
76.0000	0.6000
76.5000	0.6000
77.0000	0.6000
77.5000	0.6000
78.0000	0.6000
78.5000	0.6000
79.0000	0.6000
79.5000	0.6000
80.0000	0.6000
80.5000	0.6000
81.0000	0.6000
81.5000	0.6000
82.0000	0.6000
82.5000	0.6000
83.0000	0.6000
83.5000	0.6000
84.0000	0.6000
84.5000	0.6000
85.0000	0.6000
85.5000	0.6000
86.0000	0.6000
86.5000	0.6000
87.0000	0.6000
87.5000	0.6000
88.0000	0.6000
88.5000	0.6000
89.0000	0.6000
89.5000	0.6000
90.0000	0.6000
90.5000	0.6000
91.0000	0.6000
91.5000	0.6000
92.0000	0.6000
92.5000	0.6000
93.0000	0.6000
93.5000	0.6000
94.0000	0.6000
94.5000	0.6000
95.0000	0.6000
95.5000	0.6000
96.0000	0.6000
96.5000	0.6000
97.0000	0.6000
97.5000	0.6000
98.0000	0.6000
98.5000	0.6000
99.0000	0.6000
99.5000	0.6000
100.0000	0.0000
100.5000	4.7151
101.0000	3.4335
101.5000	2.6679
102.0000	2.2247
102.5000	1.9161
103.0000	1.6823
103.5000	1.5008
104.0000	1.3589
104.5000	1.2000
105.0000	0.6000
105.5000	0.6000
106.0000	0.6000
106.5000	0.6000
107.0000	0.6000
107.5000	0.6000
108.0000	0.6000
108.5000	0.6000
109.0000	0.6000
109.5000	0.6000
110.0000	0.6000
110.5000	0.6000
111.0000	0.6000
111.5000	0.6000
112.0000	0.6000
112.5000	0.6000
113.0000	0.6000
113.5000	0.6000
114.0000	0.6000
114.5000	0.6000
115.0000	0.6000
115.5000	0.6000
116.0000	0.6000
116.5000	0.6000
117.0000	0.6000
117.5000	0.6000
118.0000	0.6000
118.5000	0.6000
119.0000	0.6000
119.5000	0.6000
120.0000	0.6000
120.5000	0.6000
121.0000	0.6000
121.5000	0.6000
122.0000	0.6000
122.5000	0.6000
123.0000	0.6000
123.5000	0.6000
124.0000	0.6000
124.5000	0.6000
125.0000	0.6000
125.5000	0.6000
126.0000	0.6000
126.5000	0.6000
127.0000	0.6000
127.5000	0.6000
128.0000	0.6000
128.5000	0.6000
129.0000	0.6000
129.5000	0.6000
130.0000	0.6000
130.5000	0.6000
131.0000	0.6000
131.5000	0.6000
132.0000	0.6000
132.5000	0.6000
133.0000	0.6000
133.5000	0.6000
134.0000	0.6000
134.5000	0.6000
135.0000	0.6000
135.5000	0.6000
136.0000	0.6000
136.5000	0.6000
137.0000	0.6000
137.5000	0.6000
138.0000	0.6000
138.5000	0.6000
139.0000	0.6000
139.5000	0.6000
140.0000	0.6000
140.5000	0.6000
141.0000	0.6000
141.5000	0.6000
142.0000	0.6000
142.5000	0.6000
143.0000	0.6000
143.5000	0.6000
144.0000	0.6000
144.5000	0.6000
145.0000	0.6000
145.5000	0.6000
146.0000	0.6000
146.5000	0.6000
147.0000	0.6000
147.5000	0.6000
148.0000	0.6000
148.5000	0.6000
149.0000	0.6000
149.5000	0.6000
150.0000	0.6000
150.5000	0.6000
151.0000	0.6000
151.5000	0.6000
152.0000	0.6000
152.5000	0.6000
153.0000	0.6000
153.5000	0.6000
154.0000	0.6000
154.5000	0.6000
155.0000	0.6000
155.5000	0.6000
156.0000	0.6000
156.5000	0.6000
157.0000	0.6000
157.5000	0.6000
158.0000	0.6000
158.5000	0.6000
159.0000	0.6000
159.5000	0.6000
160.0000	0.6000
160.5000	0.6000
161.0000	0.6000
161.5000	0.6000
162.0000	0.6000
162.5000	0.6000
163.0000	0.6000
163.5000	0.6000
164.0000	0.6000
164.5000	0.6000
165.0000	0.6000
165.5000	0.6000
166.0000	0.6000
166.5000	0.6000
167.0000	0.6000
167.5000	0.6000
168.0000	0.6000
168.5000	0.6000
169.0000	0.6000
169.5000	0.6000
170.0000	0.6000
170.5000	0.6000
171.0000	0.6000
171.5000	0.6000
172.0000	0.6000
172.5000	0.6000
173.0000	0.6000
173.5000	0.6000
174.0000	0.6000
174.5000	0.6000
175.0000	0.6000
175.5000	0.6000
176.0000	0.6000
176.5000	0.6000
177.0000	0.6000
177.5000	0.6000
178.0000	0.6000
178.5000	0.6000
179.0000	0.6000
179.5000	0.6000
180.0000	0.6000
180.5000	0.6000
181.0000	0.6000
181.5000	0.6000
182.0000	0.6000
182.5000	0.6000
183.0000	0.6000
183.5000	0.6000
184.0000	0.6000
184.5000	0.6000
185.0000	0.6000
185.5000	0.6000
186.0000	0.6000
186.5000	0.6000
187.0000	0.6000
187.5000	0.6000
188.0000	0.6000
188.5000	0.6000
189.0000	0.6000
189.5000	0.6000
190.0000	0.6000
190.5000	0.6000
191.0000	0.6000
191.5000	0.6000
192.0000	0.6000
192.5000	0.6000
193.0000	0.6000
193.5000	0.6000
194.0000	0.6000
194.5000	0.6000
195.0000	0.6000
195.5000	0.6000
196.0000	0.6000
196.5000	0.6000
197.0000	0.6000
197.5000	0.6000
198.0000	0.6000
198.5000	0.6000
199.0000	0.6000
199.5000	0.6000
200.0000	0.6000
