Time	Data
0.0000	0.5000
0.5000	0.7397
1.0000	0.9207
1.5000	0.9987
2.0000	0.9546
2.5000	0.7992
3.0000	0.5706
3.5000	0.3246
4.0000	0.1216
4.5000	0.0112
5.0000	0.0205
5.5000	0.1472
6.0000	0.3603
6.5000	0.6076
7.0000	0.8285
7.5000	0.9690
8.0000	0.9947
8.5000	0.8992
9.0000	0.7061
9.5000	0.4624
10.0000	0.2280
10.5000	0.0602
11.0000	0.0000
11.5000	0.0623
12.0000	0.2317
12.5000	0.4668
13.0000	0.7101
13.5000	0.9019
14.0000	0.9953
14.5000	0.9674
15.0000	0.8251
15.5000	0.6032
16.0000	0.3560
16.5000	0.1441
17.0000	0.0193
17.5000	0.0122
18.0000	0.1245
18.5000	0.3288
19.0000	0.5749
19.5000	0.8028
20.0000	0.9565
20.5000	0.9984
21.0000	0.9183
21.5000	0.7358
22.0000	0.4956
22.5000	0.2564
23.0000	0.0769
23.5000	0.0010
24.0000	0.0472
24.5000	0.2043
25.0000	0.4338
25.5000	0.6795
26.0000	0.8813
26.5000	0.9897
27.0000	0.9782
27.5000	0.8496
28.0000	0.6355
28.5000	0.3881
29.0000	0.1682
29.5000	0.0295
30.0000	0.0060
30.5000	0.1034
31.0000	0.2980
31.5000	0.5420
32.0000	0.7757
32.5000	0.9419
33.0000	1.0000
33.5000	0.9356
34.0000	0.7645
34.5000	0.5287
35.0000	0.2859
35.5000	0.0955
36.0000	0.0041
36.5000	0.0341
37.0000	0.1782
37.5000	0.4011
38.0000	0.6482
38.5000	0.8590
39.0000	0.9819
39.5000	0.9868
40.0000	0.8726
40.5000	0.6671
41.0000	0.4207
41.5000	0.1937
42.0000	0.0417
42.5000	0.0020
43.0000	0.0841
43.5000	0.2681
44.0000	0.5089
44.5000	0.7474
45.0000	0.9255
45.5000	0.9993
46.0000	0.9509
46.5000	0.7921
47.0000	0.5618
47.5000	0.3163
48.0000	0.1159
48.5000	0.0094
49.0000	0.0231
49.5000	0.1536
50.0000	0.3688
50.5000	0.6162
51.0000	0.8351
51.5000	0.9720
52.0000	0.9933
52.5000	0.8939
53.0000	0.6980
53.5000	0.4536
54.0000	0.2206
54.5000	0.0560
55.0000	0.0001
55.5000	0.0666
56.0000	0.2392
56.5000	0.4757
57.0000	0.7181
57.5000	0.9071
58.0000	0.9964
58.5000	0.9642
59.0000	0.8184
59.5000	0.5946
60.0000	0.3476
60.5000	0.1379
61.0000	0.0169
61.5000	0.0142
62.0000	0.1304
62.5000	0.3371
63.0000	0.5837
63.5000	0.8098
64.0000	0.9600
64.5000	0.9976
65.0000	0.9134
65.5000	0.7280
66.0000	0.4867
66.5000	0.2487
67.0000	0.0722
67.5000	0.0005
68.0000	0.0510
68.5000	0.2115
69.0000	0.4426
69.5000	0.6878
70.0000	0.8869
70.5000	0.9914
71.0000	0.9755
71.5000	0.8432
72.0000	0.6269
72.5000	0.3795
73.0000	0.1616
73.5000	0.0266
74.0000	0.0074
74.5000	0.1089
75.0000	0.3061
75.5000	0.5508
76.0000	0.7831
76.5000	0.9460
77.0000	0.9998
77.5000	0.9312
78.0000	0.7570
78.5000	0.5199
79.0000	0.2779
79.5000	0.0904
80.0000	0.0031
80.5000	0.0374
81.0000	0.1851
81.5000	0.4098
82.0000	0.6566
82.5000	0.8651
83.0000	0.9842
83.5000	0.9847
84.0000	0.8666
84.5000	0.6587
85.0000	0.4120
85.5000	0.1868
86.0000	0.0383
86.5000	0.0028
87.0000	0.0891
87.5000	0.2760
88.0000	0.5177
88.5000	0.7551
89.0000	0.9300
89.5000	0.9997
90.0000	0.9470
90.5000	0.7849
91.0000	0.5530
91.5000	0.3081
92.0000	0.1103
92.5000	0.0078
93.0000	0.0259
93.5000	0.1600
94.0000	0.3774
94.5000	0.6248
95.0000	0.8416
95.5000	0.9748
96.0000	0.9918
96.5000	0.8883
97.0000	0.6898
97.5000	0.4448
98.0000	0.2133
98.5000	0.0520
99.0000	0.0004
99.5000	0.0711
100.0000	0.2468
100.5000	0.4845
101.0000	0.7260
101.5000	0.9122
102.0000	0.9974
102.5000	0.9609
103.0000	0.8115
103.5000	0.5859
104.0000	0.3392
104.5000	0.1319
105.0000	0.0147
105.5000	0.0164
106.0000	0.1364
106.5000	0.3455
107.0000	0.5924
107.5000	0.8167
108.0000	0.9634
108.5000	0.9967
109.0000	0.9084
109.5000	0.7201
110.0000	0.4779
110.5000	0.2411
111.0000	0.0677
111.5000	0.0002
112.0000	0.0550
112.5000	0.2188
113.0000	0.4514
113.5000	0.6959
114.0000	0.8925
114.5000	0.9929
115.0000	0.9727
115.5000	0.8367
116.0000	0.6183
116.5000	0.3709
117.0000	0.1552
117.5000	0.0238
118.0000	0.0090
118.5000	0.1145
119.0000	0.3143
119.5000	0.5596
120.0000	0.7903
