Time	Data
0.0000	0.0000
0.5000	0.5463
1.0000	1.5574
1.5000	14.1014
2.0000	2.1850
2.5000	0.7470
3.0000	0.1425
3.5000	0.3746
4.0000	1.1578
4.5000	4.6373
5.0000	3.3805
5.5000	0.9956
6.0000	0.2910
6.5000	0.2203
7.0000	0.8714
7.5000	2.7060
8.0000	6.7997
8.5000	1.3264
9.0000	0.4523
9.5000	0.0754
10.0000	0.6484
10.5000	1.8499
11.0000	225.9508
11.5000	1.8114
12.0000	0.6359
12.5000	0.0665
13.0000	0.4630
13.5000	1.3511
14.0000	7.2446
14.5000	2.6341
15.0000	0.8560
15.5000	0.2110
16.0000	0.3006
16.5000	1.0134
17.0000	3.4939
17.5000	4.4460
18.0000	1.1373
18.5000	0.3645
19.0000	0.1516
19.5000	0.7609
20.0000	2.2372
20.5000	12.5287
21.0000	1.5275
21.5000	0.5349
22.0000	0.0089
22.5000	0.5579
23.0000	1.5882
23.5000	16.1227
24.0000	2.1349
24.5000	0.7333
25.0000	0.1335
25.5000	0.3847
26.0000	1.1788
26.5000	4.8451
27.0000	3.2737
27.5000	0.9781
28.0000	0.2814
28.5000	0.2296
29.0000	0.8871
29.5000	2.7815
30.0000	6.4053
30.5000	1.3022
31.0000	0.4417
31.5000	0.0843
32.0000	0.6610
32.5000	1.8897
33.0000	75.3130
33.5000	1.7741
34.0000	0.6235
34.5000	0.0576
35.0000	0.4738
35.5000	1.3764
36.0000	7.7505
36.5000	2.5654
37.0000	0.8408
37.5000	0.2018
38.0000	0.3103
38.5000	1.0315
39.0000	3.6146
39.5000	4.2691
40.0000	1.1172
40.5000	0.3545
41.0000	0.1607
41.5000	0.7750
42.0000	2.2914
42.5000	11.2700
43.0000	1.4984
43.5000	0.5235
44.0000	0.0177
44.5000	0.5695
45.0000	1.6198
45.5000	18.8170
46.0000	2.0866
46.5000	0.7198
47.0000	0.1245
47.5000	0.3949
48.0000	1.2001
48.5000	5.0714
49.0000	3.1729
49.5000	0.9609
50.0000	0.2719
50.5000	0.2389
51.0000	0.9031
51.5000	2.8608
52.0000	6.0533
52.5000	1.2786
53.0000	0.4312
53.5000	0.0932
54.0000	0.6738
54.5000	1.9308
55.0000	45.1831
55.5000	1.7379
56.0000	0.6113
56.5000	0.0487
57.0000	0.4847
57.5000	1.4023
58.0000	8.3309
58.5000	2.4998
59.0000	0.8258
59.5000	0.1926
60.0000	0.3200
60.5000	1.0499
61.0000	3.7432
61.5000	4.1051
62.0000	1.0975
62.5000	0.3446
63.0000	0.1697
63.5000	0.7892
64.0000	2.3479
64.5000	10.2397
65.0000	1.4700
65.5000	0.5123
66.0000	0.0266
66.5000	0.5813
67.0000	1.6523
67.5000	22.5882
68.0000	2.0401
68.5000	0.7064
69.0000	0.1155
69.5000	0.4052
70.0000	1.2220
70.5000	5.3190
71.0000	3.0776
71.5000	0.9441
72.0000	0.2624
72.5000	0.2483
73.0000	0.9193
73.5000	2.9442
74.0000	5.7370
74.5000	1.2556
75.0000	0.4207
75.5000	0.1021
76.0000	0.6867
76.5000	1.9734
77.0000	32.2686
77.5000	1.7029
78.0000	0.5992
78.5000	0.0398
79.0000	0.4957
79.5000	1.4289
80.0000	9.0037
80.5000	2.4370
81.0000	0.8110
81.5000	0.1834
82.0000	0.3298
82.5000	1.0687
83.0000	3.8806
83.5000	3.9527
84.0000	1.0782
84.5000	0.3347
85.0000	0.1789
85.5000	0.8037
86.0000	2.4067
86.5000	9.3806
87.0000	1.4424
87.5000	0.5012
88.0000	0.0354
88.5000	0.5932
89.0000	1.6858
89.5000	28.2443
90.0000	1.9952
90.5000	0.6933
91.0000	0.1066
91.5000	0.4155
92.0000	1.2443
92.5000	5.5911
93.0000	2.9874
93.5000	0.9275
94.0000	0.2530
94.5000	0.2577
95.0000	0.9358
95.5000	3.0321
96.0000	5.4513
96.5000	1.2330
97.0000	0.4103
