Time	Data
0.0000	0.0000
0.5000	3.0000
1.0000	6.0000
1.5000	9.0000
2.0000	12.0000
2.5000	15.0000
3.0000	18.0000
3.5000	21.0000
4.0000	24.0000
4.5000	27.0000
5.0000	30.0000
5.5000	33.0000
6.0000	36.0000
6.5000	39.0000
7.0000	42.0000
7.5000	45.0000
8.0000	48.0000
8.5000	51.0000
9.0000	54.0000
9.5000	57.0000
10.0000	60.0000
10.5000	63.0000
11.0000	66.0000
11.5000	69.0000
12.0000	72.0000
12.5000	75.0000
13.0000	78.0000
13.5000	81.0000
14.0000	84.0000
14.5000	87.0000
15.0000	90.0000
15.5000	93.0000
16.0000	96.0000
16.5000	99.0000
17.0000	102.0000
17.5000	105.0000
18.0000	108.0000
18.5000	111.0000
19.0000	114.0000
19.5000	117.0000
20.0000	120.0000
20.5000	123.0000
21.0000	126.0000
21.5000	129.0000
22.0000	132.0000
22.5000	135.0000
23.0000	138.0000
23.5000	141.0000
24.0000	144.0000
24.5000	147.0000
25.0000	150.0000
25.5000	153.0000
26.0000	156.0000
26.5000	159.0000
27.0000	162.0000
27.5000	165.0000
28.0000	168.0000
28.5000	171.0000
29.0000	174.0000
29.5000	177.0000
30.0000	180.0000
30.5000	183.0000
31.0000	186.0000
31.5000	189.0000
32.0000	192.0000
32.5000	195.0000
33.0000	198.0000
33.5000	201.0000
34.0000	204.0000
34.5000	207.0000
35.0000	210.0000
35.5000	213.0000
36.0000	216.0000
36.5000	219.0000
37.0000	222.0000
37.5000	225.0000
38.0000	228.0000
38.5000	231.0000
39.0000	234.0000
39.5000	237.0000
40.0000	240.0000
40.5000	243.0000
41.0000	246.0000
41.5000	249.0000
42.0000	252.0000
42.5000	255.0000
43.0000	258.0000
43.5000	261.0000
44.0000	264.0000
44.5000	267.0000
45.0000	270.0000
45.5000	273.0000
46.0000	276.0000
46.5000	279.0000
47.0000	282.0000
47.5000	285.0000
48.0000	288.0000
48.5000	291.0000
49.0000	294.0000
49.5000	297.0000
50.0000	300.0000
50.5000	303.0000
51.0000	306.0000
51.5000	309.0000
52.0000	312.0000
52.5000	315.0000
53.0000	318.0000
53.5000	321.0000
54.0000	324.0000
54.5000	327.0000
55.0000	330.0000
55.5000	333.0000
56.0000	336.0000
56.5000	339.0000
57.0000	342.0000
57.5000	345.0000
58.0000	348.0000
58.5000	351.0000
59.0000	354.0000
59.5000	357.0000
60.0000	360.0000
60.5000	363.0000
61.0000	366.0000
61.5000	369.0000
62.0000	372.0000
62.5000	375.0000
63.0000	378.0000
63.5000	381.0000
64.0000	384.0000
64.5000	387.0000
65.0000	390.0000
65.5000	393.0000
66.0000	396.0000
66.5000	399.0000
67.0000	402.0000
67.5000	405.0000
68.0000	408.0000
68.5000	411.0000
69.0000	414.0000
69.5000	417.0000
70.0000	420.0000
70.5000	423.0000
71.0000	426.0000
71.5000	429.0000
72.0000	432.0000
72.5000	435.0000
73.0000	438.0000
73.5000	441.0000
74.0000	444.0000
74.5000	447.0000
75.0000	450.0000
75.5000	453.0000
76.0000	456.0000
76.5000	459.0000
77.0000	462.0000
77.5000	465.0000
78.0000	468.0000
78.5000	471.0000
79.0000	474.0000
79.5000	477.0000
80.0000	480.0000
80.5000	483.0000
81.0000	486.0000
81.5000	489.0000
82.0000	492.0000
82.5000	495.0000
83.0000	498.0000
83.5000	501.0000
84.0000	504.0000
84.5000	507.0000
85.0000	510.0000
85.5000	513.0000
86.0000	516.0000
86.5000	519.0000
87.0000	522.0000
87.5000	525.0000
88.0000	528.0000
88.5000	531.0000
89.0000	534.0000
89.5000	537.0000
90.0000	540.0000
90.5000	543.0000
91.0000	546.0000
91.5000	549.0000
92.0000	552.0000
92.5000	555.0000
93.0000	558.0000
93.5000	561.0000
94.0000	564.0000
94.5000	567.0000
95.0000	570.0000
95.5000	573.0000
96.0000	576.0000
96.5000	579.0000
97.0000	582.0000
97.5000	585.0000
98.0000	588.0000
98.5000	591.0000
99.0000	594.0000
99.5000	597.0000
100.0000	600.0000
100.5000	603.0000
101.0000	606.0000
101.5000	609.0000
102.0000	612.0000
102.5000	615.0000
103.0000	618.0000
103.5000	621.0000
104.0000	624.0000
104.5000	627.0000
105.0000	630.0000
105.5000	633.0000
106.0000	636.0000
106.5000	639.0000
107.0000	642.0000
107.5000	645.0000
108.0000	648.0000
108.5000	651.0000
109.0000	654.0000
109.5000	657.0000
110.0000	660.0000
110.5000	663.0000
111.0000	666.0000
111.5000	669.0000
112.0000	672.0000
112.5000	675.0000
113.0000	678.0000
113.5000	681.0000
114.0000	684.0000
114.5000	687.0000
115.0000	690.0000
115.5000	693.0000
116.0000	696.0000
116.5000	699.0000
117.0000	702.0000
117.5000	705.0000
118.0000	708.0000
118.5000	711.0000
119.0000	714.0000
119.5000	717.0000
120.0000	720.0000
120.5000	723.0000
121.0000	726.0000
121.5000	729.0000
122.0000	732.0000
122.5000	735.0000
123.0000	738.0000
123.5000	741.0000
124.0000	744.0000
124.5000	747.0000
125.0000	750.0000
125.5000	753.0000
126.0000	756.0000
126.5000	759.0000
127.0000	762.0000
127.5000	765.0000
128.0000	768.0000
128.5000	771.0000
129.0000	774.0000
129.5000	777.0000
130.0000	780.0000
130.5000	783.0000
131.0000	786.0000
131.5000	789.0000
132.0000	792.0000
132.5000	795.0000
133.0000	798.0000
133.5000	801.0000
134.0000	804.0000
134.5000	807.0000
135.0000	810.0000
135.5000	813.0000
136.0000	816.0000
136.5000	819.0000
137.0000	822.0000
137.5000	825.0000
138.0000	828.0000
138.5000	831.0000
139.0000	834.0000
139.5000	837.0000
140.0000	840.0000
140.5000	843.0000
141.0000	846.0000
141.5000	849.0000
142.0000	852.0000
142.5000	855.0000
143.0000	858.0000
143.5000	861.0000
