time [s]	Activity [arb units]
0.0000	1.0000
0.5000	0.0167
1.0000	0.0333
1.5000	0.0500
2.0000	0.0667
2.5000	0.0833
3.0000	0.1000
3.5000	0.1167
4.0000	0.1333
4.5000	0.1500
5.0000	0.1667
5.5000	0.1833
6.0000	0.2000
6.5000	0.2167
7.0000	0.2333
7.5000	0.2500
8.0000	0.2667
8.5000	0.2833
9.0000	0.3000
9.5000	0.3167
10.0000	0.3333
10.5000	0.3500
11.0000	0.3667
11.5000	0.3833
12.0000	0.4000
12.5000	0.4167
13.0000	0.4333
13.5000	0.4500
14.0000	0.4667
14.5000	0.4833
15.0000	0.5000
15.5000	0.5167
16.0000	0.5333
16.5000	0.5500
17.0000	0.5667
17.5000	0.5833
18.0000	0.6000
18.5000	0.6167
19.0000	0.6333
19.5000	0.6500
20.0000	0.6667
20.5000	0.6833
21.0000	0.7000
21.5000	0.7167
22.0000	0.7333
22.5000	0.7500
23.0000	0.7667
23.5000	0.7833
24.0000	0.8000
24.5000	0.8167
25.0000	0.8333
25.5000	0.8500
26.0000	0.8667
26.5000	0.8833
27.0000	0.9000
27.5000	0.9167
28.0000	0.9333
28.5000	0.9500
29.0000	0.9667
29.5000	0.9833
30.0000	1.0000
30.5000	0.0167
31.0000	0.0333
31.5000	0.0500
32.0000	0.0667
32.5000	0.0833
33.0000	0.1000
33.5000	0.1167
34.0000	0.1333
34.5000	0.1500
35.0000	0.1667
35.5000	0.1833
36.0000	0.2000
36.5000	0.2167
37.0000	0.2333
37.5000	0.2500
38.0000	0.2667
38.5000	0.2833
39.0000	0.3000
39.5000	0.3167
40.0000	0.3333
40.5000	0.3500
41.0000	0.3667
41.5000	0.3833
42.0000	0.4000
42.5000	0.4167
43.0000	0.4333
43.5000	0.4500
44.0000	0.4667
44.5000	0.4833
45.0000	0.5000
45.5000	0.5167
46.0000	0.5333
46.5000	0.5500
47.0000	0.5667
47.5000	0.5833
48.0000	0.6000
48.5000	0.6167
49.0000	0.6333
49.5000	0.6500
50.0000	0.6667
50.5000	0.6833
51.0000	0.7000
51.5000	0.7167
52.0000	0.7333
52.5000	0.7500
53.0000	0.7667
53.5000	0.7833
54.0000	0.8000
54.5000	0.8167
55.0000	0.8333
55.5000	0.8500
56.0000	0.8667
56.5000	0.8833
57.0000	0.9000
57.5000	0.9167
58.0000	0.9333
58.5000	0.9500
59.0000	0.9667
59.5000	0.9833
60.0000	1.0000
60.5000	0.0167
61.0000	0.0333
61.5000	0.0500
62.0000	0.0667
62.5000	0.0833
63.0000	0.1000
63.5000	0.1167
64.0000	0.1333
64.5000	0.1500
65.0000	0.1667
65.5000	0.1833
66.0000	0.2000
66.5000	0.2167
67.0000	0.2333
67.5000	0.2500
68.0000	0.2667
68.5000	0.2833
69.0000	0.3000
69.5000	0.3167
70.0000	0.3333
70.5000	0.3500
71.0000	0.3667
71.5000	0.3833
72.0000	0.4000
72.5000	0.4167
73.0000	0.4333
73.5000	0.4500
74.0000	0.4667
74.5000	0.4833
75.0000	0.5000
75.5000	0.5167
76.0000	0.5333
76.5000	0.5500
77.0000	0.5667
77.5000	0.5833
78.0000	0.6000
78.5000	0.6167
79.0000	0.6333
79.5000	0.6500
80.0000	0.6667
80.5000	0.6833
81.0000	0.7000
81.5000	0.7167
82.0000	0.7333
82.5000	0.7500
83.0000	0.7667
83.5000	0.7833
84.0000	0.8000
84.5000	0.8167
85.0000	0.8333
85.5000	0.8500
86.0000	0.8667
86.5000	0.8833
87.0000	0.9000
87.5000	0.9167
88.0000	0.9333
88.5000	0.9500
89.0000	0.9667
89.5000	0.9833
90.0000	1.0000
90.5000	0.0167
91.0000	0.0333
91.5000	0.0500
92.0000	0.0667
92.5000	0.0833
93.0000	0.1000
93.5000	0.1167
94.0000	0.1333
94.5000	0.1500
95.0000	0.1667
95.5000	0.1833
96.0000	0.2000
96.5000	0.2167
97.0000	0.2333
97.5000	0.2500
98.0000	0.2667
98.5000	0.2833
99.0000	0.3000
99.5000	0.3167
100.0000	0.3333
100.5000	0.3500
101.0000	0.3667
101.5000	0.3833
102.0000	0.4000
102.5000	0.4167
103.0000	0.4333
103.5000	0.4500
104.0000	0.4667
104.5000	0.4833
105.0000	0.5000
105.5000	0.5167
106.0000	0.5333
106.5000	0.5500
107.0000	0.5667
107.5000	0.5833
108.0000	0.6000
108.5000	0.6167
109.0000	0.6333
109.5000	0.6500
110.0000	0.6667
110.5000	0.6833
111.0000	0.7000
111.5000	0.7167
112.0000	0.7333
112.5000	0.7500
113.0000	0.7667
113.5000	0.7833
114.0000	0.8000
114.5000	0.8167
115.0000	0.8333
115.5000	0.8500
116.0000	0.8667
116.5000	0.8833
117.0000	0.9000
117.5000	0.9167
118.0000	0.9333
118.5000	0.9500
119.0000	0.9667
119.5000	0.9833
120.0000	1.0000
120.5000	0.0167
121.0000	0.0333
121.5000	0.0500
122.0000	0.0667
122.5000	0.0833
123.0000	0.1000
123.5000	0.1167
124.0000	0.1333
124.5000	0.1500
125.0000	0.1667
125.5000	0.1833
126.0000	0.2000
126.5000	0.2167
127.0000	0.2333
127.5000	0.2500
128.0000	0.2667
128.5000	0.2833
129.0000	0.3000
129.5000	0.3167
130.0000	0.3333
130.5000	0.3500
131.0000	0.3667
131.5000	0.3833
132.0000	0.4000
132.5000	0.4167
133.0000	0.4333
133.5000	0.4500
134.0000	0.4667
134.5000	0.4833
135.0000	0.5000
135.5000	0.5167
136.0000	0.5333
136.5000	0.5500
137.0000	0.5667
137.5000	0.5833
138.0000	0.6000
138.5000	0.6167
139.0000	0.6333
139.5000	0.6500
140.0000	0.6667
140.5000	0.6833
141.0000	0.7000
141.5000	0.7167
142.0000	0.7333
