Time	Data
0.0000	4.0000
0.5000	6.0000
1.0000	9.0000
1.5000	13.0000
2.0000	18.0000
2.5000	24.0000
3.0000	31.0000
3.5000	39.0000
4.0000	48.0000
4.5000	58.0000
5.0000	69.0000
5.5000	81.0000
6.0000	94.0000
6.5000	108.0000
7.0000	123.0000
7.5000	139.0000
8.0000	156.0000
8.5000	174.0000
9.0000	193.0000
9.5000	213.0000
10.0000	234.0000
10.5000	256.0000
11.0000	279.0000
11.5000	303.0000
12.0000	328.0000
12.5000	354.0000
13.0000	381.0000
13.5000	409.0000
14.0000	438.0000
14.5000	468.0000
15.0000	499.0000
15.5000	531.0000
16.0000	564.0000
16.5000	598.0000
17.0000	633.0000
17.5000	669.0000
18.0000	706.0000
18.5000	744.0000
19.0000	783.0000
19.5000	823.0000
20.0000	864.0000
20.5000	906.0000
21.0000	949.0000
21.5000	993.0000
22.0000	1038.0000
22.5000	1084.0000
23.0000	1131.0000
23.5000	1179.0000
24.0000	1228.0000
24.5000	1278.0000
25.0000	1329.0000
25.5000	1381.0000
26.0000	1434.0000
26.5000	1488.0000
27.0000	1543.0000
27.5000	1599.0000
28.0000	1656.0000
28.5000	1714.0000
29.0000	1773.0000
29.5000	1833.0000
30.0000	1894.0000
30.5000	1956.0000
31.0000	2019.0000
31.5000	2083.0000
32.0000	2148.0000
32.5000	2214.0000
33.0000	2281.0000
33.5000	2349.0000
34.0000	2418.0000
34.5000	2488.0000
35.0000	2559.0000
35.5000	2631.0000
36.0000	2704.0000
36.5000	2778.0000
37.0000	2853.0000
37.5000	2929.0000
38.0000	3006.0000
38.5000	3084.0000
39.0000	3163.0000
39.5000	3243.0000
40.0000	3324.0000
40.5000	3406.0000
41.0000	3489.0000
41.5000	3573.0000
42.0000	3658.0000
42.5000	3744.0000
43.0000	3831.0000
43.5000	3919.0000
44.0000	4008.0000
44.5000	4098.0000
45.0000	4189.0000
45.5000	4281.0000
46.0000	4374.0000
46.5000	4468.0000
47.0000	4563.0000
